date,open,high,low,close,volume,dollar_volume,trade_count,sources
2009-06-26,0.003000,0.005000,0.003000,0.005000,62793443,313967.22,40,local-cache
2009-06-29,0.005000,0.006000,0.005000,0.006000,20650150,123900.90,21,local-cache
2009-06-30,0.005000,0.005000,0.005000,0.005000,2365000,11825.00,7,local-cache
2009-07-01,0.005000,0.005000,0.004000,0.005000,2428400,12142.00,13,local-cache
2009-07-02,0.006000,0.008000,0.006000,0.007000,11041600,77291.20,20,local-cache
2009-07-06,0.007000,0.007000,0.005000,0.005000,6124000,30620.00,9,local-cache
2009-07-07,0.005000,0.008000,0.005000,0.007000,3100666,21704.66,10,local-cache
2009-07-08,0.008000,0.008000,0.006000,0.006000,4980668,29884.01,11,local-cache
2009-07-09,0.006000,0.007000,0.006000,0.006000,502400,3014.40,5,local-cache
2009-07-10,0.006000,0.007000,0.006000,0.007000,238000,1666.00,4,local-cache
2009-07-13,0.006000,0.007000,0.005000,0.007000,8027150,56190.05,14,local-cache
2009-07-14,0.007000,0.007000,0.005000,0.005000,1301979,6509.90,8,local-cache
2009-07-15,0.005000,0.006000,0.005000,0.006000,2363400,14180.40,9,local-cache
2009-07-16,0.005000,0.006000,0.005000,0.006000,5100000,30600.00,10,local-cache
2009-07-17,0.006000,0.009000,0.006000,0.009000,42068351,378615.16,39,local-cache
2009-07-20,0.009000,0.010000,0.009000,0.009000,45203398,406830.58,38,local-cache
2009-07-21,0.009000,0.009000,0.008000,0.009000,2792000,25128.00,9,local-cache
2009-07-22,0.008000,0.009000,0.008000,0.009000,5454000,49086.00,15,local-cache
2009-07-23,0.009000,0.009000,0.009000,0.009000,4498186,40483.67,11,local-cache
2009-07-24,0.009000,0.009000,0.008000,0.009000,2876182,25885.64,15,local-cache
2009-07-27,0.009000,0.012000,0.009000,0.010000,14201600,142016.00,15,local-cache
2009-07-28,0.012000,0.012000,0.009000,0.012000,13712822,164553.86,23,local-cache
2009-07-29,0.012000,0.014000,0.010000,0.014000,15378358,215297.01,28,local-cache
2009-07-30,0.013000,0.014000,0.013000,0.014000,1607200,22500.80,9,local-cache
2009-07-31,0.013000,0.013000,0.012000,0.012000,948500,11382.00,7,local-cache
2009-08-03,0.012000,0.012000,0.012000,0.012000,1968110,23617.32,10,local-cache
2009-08-04,0.010000,0.012000,0.010000,0.012000,450000,5400.00,5,local-cache
2009-08-05,0.012000,0.014000,0.010000,0.013000,32705632,425173.22,24,local-cache
2009-08-06,0.010000,0.010000,0.010000,0.010000,487941,4879.41,2,local-cache
2009-08-07,0.009000,0.009000,0.008000,0.009000,1832822,16495.40,7,local-cache
2009-08-10,0.009000,0.009000,0.008000,0.009000,3418300,30764.70,7,local-cache
2009-08-11,0.007000,0.008000,0.007000,0.007000,146500,1025.50,5,local-cache
2009-08-12,0.007000,0.007000,0.007000,0.007000,1665911,11661.38,8,local-cache
2009-08-13,0.007000,0.008000,0.007000,0.008000,11865400,94923.20,17,local-cache
2009-08-14,0.009000,0.009000,0.007000,0.009000,7468994,67220.95,13,local-cache
2009-08-17,0.009000,0.009000,0.007000,0.009000,485500,4369.50,5,local-cache
2009-08-18,0.009000,0.009000,0.007000,0.008000,10224577,81796.62,13,local-cache
2009-08-19,0.008000,0.008000,0.005000,0.006000,158439956,950639.74,38,local-cache
2009-08-20,0.006000,0.007000,0.006000,0.007000,2560198,17921.39,9,local-cache
2009-08-21,0.007000,0.007000,0.006000,0.007000,7800800,54605.60,15,local-cache
2009-08-24,0.006000,0.006000,0.005000,0.006000,19562200,117373.20,21,local-cache
2009-08-25,0.005000,0.005000,0.005000,0.005000,33116882,165584.41,18,local-cache
2009-08-26,0.005000,0.007000,0.005000,0.006000,35903700,215422.20,29,local-cache
2009-08-27,0.006000,0.006000,0.006000,0.006000,21585346,129512.08,21,local-cache
2009-08-28,0.006000,0.010000,0.006000,0.007000,51087208,357610.46,34,local-cache
2009-08-31,0.007000,0.007000,0.007000,0.007000,1955000,13685.00,8,local-cache
2009-09-01,0.005000,0.006000,0.005000,0.006000,1926000,11556.00,6,local-cache
2009-09-02,0.006000,0.007000,0.006000,0.007000,455000,3185.00,3,local-cache
2009-09-03,0.007000,0.007000,0.005000,0.007000,287400,2011.80,3,local-cache
2009-09-04,0.007000,0.007000,0.007000,0.007000,5000,35.00,1,local-cache
2009-09-08,0.007000,0.007000,0.007000,0.007000,14000,98.00,1,local-cache
2009-09-09,0.007000,0.007000,0.007000,0.007000,230400,1612.80,4,local-cache
2009-09-10,0.007000,0.007000,0.007000,0.007000,1150000,8050.00,4,local-cache
2009-09-11,0.007000,0.007000,0.007000,0.007000,455000,3185.00,3,local-cache
2009-09-14,0.007000,0.007000,0.007000,0.007000,10845000,75915.00,20,local-cache
2009-09-15,0.007000,0.007000,0.007000,0.007000,1926000,13482.00,8,local-cache
2009-09-16,0.006000,0.007000,0.006000,0.007000,2811000,19677.00,7,local-cache
2009-09-17,0.006000,0.008000,0.006000,0.006000,24760000,148560.00,19,local-cache
2009-09-18,0.006000,0.006000,0.006000,0.006000,4343572,26061.43,7,local-cache
2009-09-21,0.006000,0.007000,0.006000,0.007000,4875000,34125.00,11,local-cache
2009-09-22,0.007000,0.007000,0.007000,0.007000,200483,1403.38,4,local-cache
2009-09-23,0.007000,0.010000,0.007000,0.010000,1387300,13873.00,11,local-cache
2009-09-24,0.010000,0.013000,0.010000,0.013000,13423200,174501.60,19,local-cache
2009-09-25,0.012000,0.014000,0.012000,0.014000,11672143,163410.00,15,local-cache
2009-09-28,0.014000,0.018000,0.014000,0.014000,58348456,816878.38,38,local-cache
2009-09-29,0.015000,0.015000,0.014000,0.014000,2068300,28956.20,7,local-cache
2009-09-30,0.014000,0.014000,0.011000,0.011000,2855830,31414.13,11,local-cache
2009-10-01,0.012000,0.012000,0.009000,0.009000,3194900,28754.10,15,local-cache
2009-10-02,0.010000,0.011000,0.010000,0.010000,1425100,14251.00,8,local-cache
2009-10-05,0.011000,0.012000,0.009000,0.009000,305000,2745.00,4,local-cache
2009-10-06,0.010000,0.012000,0.009000,0.010000,3886272,38862.72,9,local-cache
2009-10-07,0.011000,0.013000,0.011000,0.013000,1679000,21827.00,5,local-cache
2009-10-09,0.012000,0.012000,0.012000,0.012000,4000,48.00,1,local-cache
2009-10-12,0.009000,0.009000,0.009000,0.009000,116000,1044.00,2,local-cache
2009-10-13,0.011000,0.011000,0.010000,0.010000,555000,5550.00,4,local-cache
2009-10-14,0.011000,0.013000,0.011000,0.011000,541000,5951.00,5,local-cache
2009-10-15,0.010000,0.010000,0.010000,0.010000,790000,7900.00,5,local-cache
2009-10-16,0.012000,0.012000,0.012000,0.012000,8000,96.00,1,local-cache
2009-10-19,0.012000,0.012000,0.012000,0.012000,907000,10884.00,4,local-cache
2009-10-20,0.010000,0.011000,0.010000,0.011000,85000,935.00,2,local-cache
2009-10-21,0.012000,0.012000,0.012000,0.012000,5000,60.00,1,local-cache
2009-10-22,0.012000,0.012000,0.012000,0.012000,840465,10085.58,3,local-cache
2009-10-23,0.012000,0.012000,0.010000,0.010000,56000,560.00,3,local-cache
2009-10-26,0.010000,0.010000,0.009000,0.009000,2047000,18423.00,5,local-cache
2009-10-27,0.009000,0.011000,0.009000,0.011000,675000,7425.00,4,local-cache
2009-10-28,0.011000,0.011000,0.010000,0.010000,249712,2497.12,3,local-cache
2009-10-29,0.010000,0.010000,0.009000,0.009000,4401000,39609.00,8,local-cache
2009-10-30,0.010000,0.010000,0.009000,0.010000,605000,6050.00,3,local-cache
2009-11-03,0.010000,0.010000,0.009000,0.009000,882673,7944.06,6,local-cache
2009-11-04,0.010000,0.013000,0.010000,0.012000,11355200,136262.40,18,local-cache
2009-11-05,0.012000,0.013000,0.012000,0.012000,1843110,22117.32,7,local-cache
2009-11-06,0.012000,0.012000,0.012000,0.012000,170000,2040.00,2,local-cache
2009-11-09,0.012000,0.016000,0.009000,0.013000,26504600,344559.80,27,local-cache
2009-11-10,0.013000,0.013000,0.010000,0.012000,11073400,132880.80,19,local-cache
2009-11-11,0.012000,0.012000,0.010000,0.011000,39200,431.20,4,local-cache
2009-11-12,0.009000,0.011000,0.009000,0.009000,371000,3339.00,4,local-cache
2009-11-13,0.009000,0.010000,0.009000,0.009000,185000,1665.00,4,local-cache
2009-11-16,0.011000,0.011000,0.011000,0.011000,22000,242.00,2,local-cache
2009-11-17,0.009000,0.009000,0.009000,0.009000,25000,225.00,1,local-cache
2009-11-18,0.009000,0.009000,0.009000,0.009000,1086000,9774.00,4,local-cache
2009-11-19,0.009000,0.011000,0.009000,0.011000,4873388,53607.27,11,local-cache
2009-11-20,0.011000,0.011000,0.011000,0.011000,1770806,19478.87,4,local-cache
2009-11-23,0.009000,0.010000,0.009000,0.010000,1005932,10059.32,4,local-cache
2009-11-24,0.011000,0.011000,0.009000,0.009000,117500,1057.50,2,local-cache
2009-11-25,0.011000,0.011000,0.010000,0.010000,2042420,20424.20,6,local-cache
2009-11-27,0.010000,0.010000,0.008000,0.010000,1112400,11124.00,5,local-cache
2009-11-30,0.009000,0.009000,0.009000,0.009000,25000,225.00,1,local-cache
2009-12-01,0.009000,0.010000,0.009000,0.010000,1007500,10075.00,5,local-cache
2009-12-02,0.010000,0.011000,0.009000,0.011000,1354322,14897.54,8,local-cache
2009-12-03,0.011000,0.011000,0.010000,0.010000,1120000,11200.00,5,local-cache
2009-12-04,0.010000,0.013000,0.010000,0.013000,130000,1690.00,4,local-cache
2009-12-08,0.011000,0.011000,0.009000,0.010000,8779000,87790.00,12,local-cache
2009-12-09,0.011000,0.011000,0.010000,0.011000,4059482,44654.30,14,local-cache
2009-12-10,0.013000,0.013000,0.009000,0.013000,13255400,172320.20,17,local-cache
2009-12-14,0.012000,0.012000,0.012000,0.012000,335000,4020.00,3,local-cache
2009-12-15,0.012000,0.012000,0.010000,0.010000,670000,6700.00,6,local-cache
2009-12-16,0.010000,0.013000,0.010000,0.013000,393000,5109.00,3,local-cache
2009-12-18,0.013000,0.013000,0.013000,0.013000,1000,13.00,1,local-cache
2009-12-21,0.011000,0.013000,0.010000,0.013000,12995983,168947.78,21,local-cache
2009-12-22,0.013000,0.013000,0.010000,0.013000,288400,3749.20,5,local-cache
2009-12-23,0.013000,0.013000,0.013000,0.013000,190000,2470.00,3,local-cache
2009-12-24,0.010000,0.013000,0.010000,0.013000,25000,325.00,2,local-cache
2009-12-31,0.011000,0.011000,0.010000,0.011000,455000,5005.00,4,local-cache
2010-01-05,0.009000,0.011000,0.009000,0.011000,233200,2565.20,3,local-cache
2010-01-11,0.010000,0.011000,0.009000,0.011000,2499068,27489.75,8,local-cache
2010-01-12,0.011000,0.011000,0.011000,0.011000,604966,6654.63,6,local-cache
2010-01-13,0.010000,0.011000,0.010000,0.011000,680000,7480.00,6,local-cache
2010-01-14,0.011000,0.011000,0.010000,0.010000,335000,3350.00,3,local-cache
2010-01-15,0.010000,0.010000,0.009000,0.010000,2135000,21350.00,6,local-cache
2010-01-19,0.010000,0.010000,0.010000,0.010000,150000,1500.00,2,local-cache
2010-01-21,0.009000,0.009000,0.009000,0.009000,1770000,15930.00,9,local-cache
2010-01-22,0.009000,0.010000,0.009000,0.010000,8385000,83850.00,12,local-cache
2010-01-25,0.009000,0.009000,0.009000,0.009000,9215884,82942.96,11,local-cache
2010-01-26,0.009000,0.009000,0.009000,0.009000,1074000,9666.00,5,local-cache
2010-01-27,0.009000,0.009000,0.009000,0.009000,1400500,12604.50,7,local-cache
2010-01-28,0.009000,0.012000,0.009000,0.012000,7139400,85672.80,10,local-cache
2010-01-29,0.010000,0.011000,0.010000,0.010000,785000,7850.00,5,local-cache
2010-02-01,0.010000,0.010000,0.010000,0.010000,119286,1192.86,2,local-cache
2010-02-02,0.010000,0.010000,0.009000,0.009000,248000,2232.00,3,local-cache
2010-02-03,0.009000,0.009000,0.009000,0.009000,500000,4500.00,2,local-cache
2010-02-04,0.009000,0.009000,0.009000,0.009000,2725785,24532.06,6,local-cache
2010-02-05,0.009000,0.009000,0.009000,0.009000,10000,90.00,1,local-cache
2010-02-08,0.009000,0.009000,0.009000,0.009000,821000,7389.00,3,local-cache
2010-02-09,0.009000,0.009000,0.009000,0.009000,280000,2520.00,2,local-cache
2010-02-10,0.009000,0.010000,0.009000,0.010000,30675839,306758.39,19,local-cache
2010-02-11,0.010000,0.010000,0.010000,0.010000,33000,330.00,1,local-cache
2010-02-12,0.009000,0.009000,0.009000,0.009000,24054024,216486.22,18,local-cache
2010-02-16,0.009000,0.009000,0.009000,0.009000,614000,5526.00,6,local-cache
2010-02-17,0.009000,0.009000,0.009000,0.009000,1855000,16695.00,6,local-cache
2010-02-18,0.009000,0.009000,0.008000,0.009000,51130639,460175.75,26,local-cache
2010-02-19,0.009000,0.009000,0.009000,0.009000,990000,8910.00,4,local-cache
2010-02-22,0.009000,0.009000,0.007000,0.008000,28218206,225745.65,23,local-cache
2010-02-23,0.007000,0.007000,0.007000,0.007000,8775203,61426.42,13,local-cache
2010-02-24,0.007000,0.007000,0.006000,0.007000,28518200,199627.40,18,local-cache
2010-02-25,0.006000,0.007000,0.006000,0.007000,16983000,118881.00,16,local-cache
2010-02-26,0.007000,0.008000,0.006000,0.008000,50003814,400030.51,27,local-cache
2010-03-02,0.008000,0.008000,0.007000,0.008000,644000,5152.00,4,local-cache
2010-03-03,0.007000,0.008000,0.007000,0.008000,6262425,50099.40,9,local-cache
2010-03-04,0.007000,0.008000,0.007000,0.008000,3415000,27320.00,7,local-cache
2010-03-05,0.007000,0.007000,0.007000,0.007000,2979000,20853.00,8,local-cache
2010-03-08,0.007000,0.007000,0.007000,0.007000,1022500,7157.50,3,local-cache
2010-03-09,0.007000,0.007000,0.007000,0.007000,75000,525.00,2,local-cache
2010-03-10,0.007000,0.007000,0.007000,0.007000,15000,105.00,1,local-cache
2010-03-11,0.007000,0.007000,0.007000,0.007000,1425550,9978.85,5,local-cache
2010-03-12,0.007000,0.010000,0.007000,0.009000,12393411,111540.70,16,local-cache
2010-03-15,0.009000,0.009000,0.009000,0.009000,187310,1685.79,1,local-cache
2010-03-16,0.009000,0.009000,0.008000,0.008000,2355000,18840.00,7,local-cache
2010-03-17,0.009000,0.009000,0.009000,0.009000,261000,2349.00,4,local-cache
2010-03-18,0.009000,0.009000,0.009000,0.009000,550000,4950.00,3,local-cache
2010-03-22,0.008000,0.009000,0.007000,0.007000,468000,3276.00,5,local-cache
2010-03-23,0.009000,0.009000,0.007000,0.008000,314252,2514.02,4,local-cache
2010-03-25,0.008000,0.008000,0.008000,0.008000,553000,4424.00,7,local-cache
2010-03-26,0.007000,0.010000,0.007000,0.009000,60000,540.00,3,local-cache
